--- hetero ---
iteration: 0	elapsed time: 0.9679813385009766
Conv2d BST CPU Average copy: 0.22827254
Conv2d BST CPU Average FORWARD: 8.70273812
Conv2d BST GPU Average copy: 0.25005292
Conv2d BST GPU Average FORWARD: 2.37897911
ReLU BST CPU Average copy: 1.32061014
ReLU BST CPU Average FORWARD: 1.26429519
ReLU BST GPU Average copy: 0.96555190
ReLU BST GPU Average FORWARD: 0.02881975
MaxPool2d BST CPU Average copy: 1.47031774
MaxPool2d BST CPU Average FORWARD: 2.29756760
MaxPool2d BST GPU Average copy: 0.95280011
MaxPool2d BST GPU Average FORWARD: 0.04647958
Conv2d BST CPU Average copy: 0.41397653
Conv2d BST CPU Average FORWARD: 1.46591784
Conv2d BST GPU Average copy: 0.27203319
Conv2d BST GPU Average FORWARD: 1.40284769
ReLU BST CPU Average copy: 0.09580092
ReLU BST CPU Average FORWARD: 0.19886518
ReLU BST GPU Average copy: 0.06630204
ReLU BST GPU Average FORWARD: 0.02219460
Conv2d BST CPU Average copy: 0.08344409
Conv2d BST CPU Average FORWARD: 0.57705243
Conv2d BST GPU Average copy: 0.06422852
Conv2d BST GPU Average FORWARD: 1.33544267
ReLU BST CPU Average copy: 0.27275808
ReLU BST CPU Average FORWARD: 0.23626318
ReLU BST GPU Average copy: 0.21358211
ReLU BST GPU Average FORWARD: 0.02749279
Conv2d BST CPU Average copy: 0.06686557
Conv2d BST CPU Average FORWARD: 0.69358132
Conv2d BST GPU Average copy: 0.06528334
Conv2d BST GPU Average FORWARD: 1.72881406
ReLU BST CPU Average copy: 0.25304881
ReLU BST CPU Average FORWARD: 0.20179363
ReLU BST GPU Average copy: 0.21323772
ReLU BST GPU Average FORWARD: 0.02672215
Conv2d BST CPU Average copy: 0.39541842
Conv2d BST CPU Average FORWARD: 0.38274370
Conv2d BST GPU Average copy: 0.34428847
Conv2d BST GPU Average FORWARD: 1.39155051
ReLU BST CPU Average copy: 0.08626899
ReLU BST CPU Average FORWARD: 0.04748624
ReLU BST GPU Average copy: 0.06569275
ReLU BST GPU Average FORWARD: 0.01900365
Conv2d BST CPU Average copy: 0.08096358
Conv2d BST CPU Average FORWARD: 0.18512841
Conv2d BST GPU Average copy: 0.06436579
Conv2d BST GPU Average FORWARD: 1.31995269
ReLU BST CPU Average copy: 0.25697910
ReLU BST CPU Average FORWARD: 0.11022163
ReLU BST GPU Average copy: 0.21420103
ReLU BST GPU Average FORWARD: 0.02631274
Conv2d BST CPU Average copy: 0.06620571
Conv2d BST CPU Average FORWARD: 0.41983585
Conv2d BST GPU Average copy: 0.06530261
Conv2d BST GPU Average FORWARD: 1.71132762
ReLU BST CPU Average copy: 0.24937861
ReLU BST CPU Average FORWARD: 0.06260535
ReLU BST GPU Average copy: 0.21193726
ReLU BST GPU Average FORWARD: 0.02721825
Conv2d BST CPU Average copy: 0.31640313
Conv2d BST CPU Average FORWARD: 0.33710460
Conv2d BST GPU Average copy: 0.33818110
Conv2d BST GPU Average FORWARD: 1.41355486
ReLU BST CPU Average copy: 0.14270195
ReLU BST CPU Average FORWARD: 0.04944898
ReLU BST GPU Average copy: 0.11576547
ReLU BST GPU Average FORWARD: 0.01947085
Conv2d BST CPU Average copy: 0.13883186
Conv2d BST CPU Average FORWARD: 0.26819441
Conv2d BST GPU Average copy: 0.11486477
Conv2d BST GPU Average FORWARD: 1.39211404
ReLU BST CPU Average copy: 0.42540136
ReLU BST CPU Average FORWARD: 0.09223187
ReLU BST GPU Average copy: 0.32764011
ReLU BST GPU Average FORWARD: 0.02705930
Conv2d BST CPU Average copy: 0.11032760
Conv2d BST CPU Average FORWARD: 0.40432660
Conv2d BST GPU Average copy: 0.11627843
Conv2d BST GPU Average FORWARD: 1.70020624
ReLU BST CPU Average copy: 0.47523325
ReLU BST CPU Average FORWARD: 0.06568071
ReLU BST GPU Average copy: 0.33046742
ReLU BST GPU Average FORWARD: 0.02821768
MaxPool2d BST CPU Average copy: 0.67758319
MaxPool2d BST CPU Average FORWARD: 0.50761242
MaxPool2d BST GPU Average copy: 0.55530336
MaxPool2d BST GPU Average FORWARD: 0.03660809
Conv2d BST CPU Average copy: 0.25859746
Conv2d BST CPU Average FORWARD: 0.26032660
Conv2d BST GPU Average copy: 0.21192763
Conv2d BST GPU Average FORWARD: 1.34373193
ReLU BST CPU Average copy: 0.05670509
ReLU BST CPU Average FORWARD: 0.02250527
ReLU BST GPU Average copy: 0.04246981
ReLU BST GPU Average FORWARD: 0.01989230
Conv2d BST CPU Average copy: 0.04788360
Conv2d BST CPU Average FORWARD: 0.23714701
Conv2d BST GPU Average copy: 0.04005432
Conv2d BST GPU Average FORWARD: 1.32871156
ReLU BST CPU Average copy: 0.14011306
ReLU BST CPU Average FORWARD: 0.09326020
ReLU BST GPU Average copy: 0.11475158
