--- hetero ---
iteration: 0	elapsed time: 1.1852445602416992
Conv2d BST CPU Average copy: 0.25958967
Conv2d BST CPU Average FORWARD: 13.02052267
Conv2d BST GPU Average copy: 0.28903557
Conv2d BST GPU Average FORWARD: 2.08621314
ReLU BST CPU Average copy: 3.47528795
ReLU BST CPU Average FORWARD: 3.04199710
ReLU BST GPU Average copy: 3.73333151
ReLU BST GPU Average FORWARD: 0.04351500
Conv2d BST CPU Average copy: 4.40482901
Conv2d BST CPU Average FORWARD: 15.10896827
Conv2d BST GPU Average copy: 3.67204589
Conv2d BST GPU Average FORWARD: 2.77158708
ReLU BST CPU Average copy: 6.03132778
ReLU BST CPU Average FORWARD: 3.25992131
ReLU BST GPU Average copy: 3.75614744
ReLU BST GPU Average FORWARD: 0.05181630
MaxPool2d BST CPU Average copy: 3.63589296
MaxPool2d BST CPU Average FORWARD: 5.07774979
MaxPool2d BST GPU Average copy: 3.68757922
MaxPool2d BST GPU Average FORWARD: 0.07632525
Conv2d BST CPU Average copy: 1.16717695
Conv2d BST CPU Average FORWARD: 7.07196949
Conv2d BST GPU Average copy: 1.01372208
Conv2d BST GPU Average FORWARD: 3.17121756
ReLU BST CPU Average copy: 2.21434747
ReLU BST CPU Average FORWARD: 1.03107125
ReLU BST GPU Average copy: 1.89323136
ReLU BST GPU Average FORWARD: 0.03608309
Conv2d BST CPU Average copy: 2.69421182
Conv2d BST CPU Average FORWARD: 8.91440806
Conv2d BST GPU Average copy: 1.82520500
Conv2d BST GPU Average FORWARD: 3.28108036
ReLU BST CPU Average copy: 2.91826990
ReLU BST CPU Average FORWARD: 1.64485459
ReLU BST GPU Average copy: 2.00568305
ReLU BST GPU Average FORWARD: 0.03951246
MaxPool2d BST CPU Average copy: 2.37229135
MaxPool2d BST CPU Average FORWARD: 2.82755043
MaxPool2d BST GPU Average copy: 1.83326307
MaxPool2d BST GPU Average FORWARD: 0.06177449
Conv2d BST CPU Average copy: 0.72371117
Conv2d BST CPU Average FORWARD: 8.71390526
Conv2d BST GPU Average copy: 0.56516763
Conv2d BST GPU Average FORWARD: 2.65580958
ReLU BST CPU Average copy: 1.51560523
ReLU BST CPU Average FORWARD: 1.33570276
ReLU BST GPU Average copy: 1.00273075
ReLU BST GPU Average FORWARD: 0.03605660
Conv2d BST CPU Average copy: 1.47841916
Conv2d BST CPU Average FORWARD: 6.92075431
Conv2d BST GPU Average copy: 0.98855086
Conv2d BST GPU Average FORWARD: 3.13279605
ReLU BST CPU Average copy: 3.12423224
ReLU BST CPU Average FORWARD: 1.34120084
ReLU BST GPU Average copy: 1.02043634
ReLU BST GPU Average FORWARD: 0.03427207
Conv2d BST CPU Average copy: 1.44450351
Conv2d BST CPU Average FORWARD: 9.50471079
Conv2d BST GPU Average copy: 0.98735395
Conv2d BST GPU Average FORWARD: 3.11867637
ReLU BST CPU Average copy: 3.18015705
ReLU BST CPU Average FORWARD: 2.25204892
ReLU BST GPU Average copy: 1.02906275
ReLU BST GPU Average FORWARD: 0.03529317
Conv2d BST CPU Average copy: 1.45342374
Conv2d BST CPU Average FORWARD: 10.91034485
Conv2d BST GPU Average copy: 1.07929201
Conv2d BST GPU Average FORWARD: 3.07450150
ReLU BST CPU Average copy: 3.03659776
ReLU BST CPU Average FORWARD: 1.34425452
ReLU BST GPU Average copy: 1.01177861
ReLU BST GPU Average FORWARD: 0.03449363
MaxPool2d BST CPU Average copy: 1.46323743
MaxPool2d BST CPU Average FORWARD: 1.40787616
MaxPool2d BST GPU Average copy: 0.99585996
MaxPool2d BST GPU Average FORWARD: 0.05432090
Conv2d BST CPU Average copy: 0.44536109
Conv2d BST CPU Average FORWARD: 6.07544003
Conv2d BST GPU Average copy: 0.30624505
Conv2d BST GPU Average FORWARD: 3.16675504
ReLU BST CPU Average copy: 3.96087435
ReLU BST CPU Average FORWARD: 1.15359913
ReLU BST GPU Average copy: 0.56183940
ReLU BST GPU Average FORWARD: 0.03561588
Conv2d BST CPU Average copy: 0.81195253
Conv2d BST CPU Average FORWARD: 7.87802658
Conv2d BST GPU Average copy: 0.55329246
Conv2d BST GPU Average FORWARD: 3.12963640
ReLU BST CPU Average copy: 7.82611635
ReLU BST CPU Average FORWARD: 1.32794573
ReLU BST GPU Average copy: 0.56208023
ReLU BST GPU Average FORWARD: 0.03401920
Conv2d BST CPU Average copy: 0.81229210
Conv2d BST CPU Average FORWARD: 7.25054500
Conv2d BST GPU Average copy: 0.55557309
Conv2d BST GPU Average FORWARD: 3.18287599
ReLU BST CPU Average copy: 7.76832754
ReLU BST CPU Average FORWARD: 1.91984514
ReLU BST GPU Average copy: 0.56116509
ReLU BST GPU Average FORWARD: 0.03304144
Conv2d BST CPU Average copy: 0.81696414
Conv2d BST CPU Average FORWARD: 12.44607839
Conv2d BST GPU Average copy: 0.55710715
Conv2d BST GPU Average FORWARD: 3.16463576
ReLU BST CPU Average copy: 7.80387599
ReLU BST CPU Average FORWARD: 1.72502585
ReLU BST GPU Average copy: 0.56712314
ReLU BST GPU Average FORWARD: 0.03536301
MaxPool2d BST CPU Average copy: 0.81103257
MaxPool2d BST CPU Average FORWARD: 2.19996289
MaxPool2d BST GPU Average copy: 0.55595841
MaxPool2d BST GPU Average FORWARD: 0.05500967
Conv2d BST CPU Average copy: 0.25387485
Conv2d BST CPU Average FORWARD: 4.61169204
Conv2d BST GPU Average copy: 0.20824538
Conv2d BST GPU Average FORWARD: 3.29931577
ReLU BST CPU Average copy: 7.50496171
ReLU BST CPU Average FORWARD: 2.00185390
ReLU BST GPU Average copy: 0.21642868
ReLU BST GPU Average FORWARD: 0.03100405
Conv2d BST CPU Average copy: 0.26396067
Conv2d BST CPU Average FORWARD: 8.08868264
Conv2d BST GPU Average copy: 0.20845009
Conv2d BST GPU Average FORWARD: 3.09894543
ReLU BST CPU Average copy: 7.60072169
ReLU BST CPU Average FORWARD: 2.11636948
ReLU BST GPU Average copy: 0.21489702
ReLU BST GPU Average FORWARD: 0.03031769
Conv2d BST CPU Average copy: 0.26501550
Conv2d BST CPU Average FORWARD: 9.72586208
Conv2d BST GPU Average copy: 0.20973610
Conv2d BST GPU Average FORWARD: 3.19441400
ReLU BST CPU Average copy: 7.50379129
ReLU BST CPU Average FORWARD: 2.29712689
ReLU BST GPU Average copy: 0.21438888
ReLU BST GPU Average FORWARD: 0.02987216
Conv2d BST CPU Average copy: 0.26573075
Conv2d BST CPU Average FORWARD: 8.87384559
Conv2d BST GPU Average copy: 0.21132556
Conv2d BST GPU Average FORWARD: 3.10353077
ReLU BST CPU Average copy: 7.58421782
ReLU BST CPU Average FORWARD: 1.69477800
ReLU BST GPU Average copy: 0.21268382
ReLU BST GPU Average FORWARD: 0.02992033
MaxPool2d BST CPU Average copy: 0.26709624
MaxPool2d BST CPU Average FORWARD: 2.16915150
MaxPool2d BST GPU Average copy: 0.20892692
MaxPool2d BST GPU Average FORWARD: 0.04955253
AdaptiveAvgPool2d BST CPU Average copy: 0.09117704
AdaptiveAvgPool2d BST CPU Average FORWARD: 3.40385148
AdaptiveAvgPool2d BST GPU Average copy: 0.06512921
AdaptiveAvgPool2d BST GPU Average FORWARD: 0.04211339
Linear BST CPU Average copy: 3.85733566
Linear BST CPU Average FORWARD: 26.77879911
Linear BST GPU Average copy: 1.46375280
Linear BST GPU Average FORWARD: 0.24031870
ReLU BST CPU Average copy: 7.00160951
ReLU BST CPU Average FORWARD: 1.61049101
ReLU BST GPU Average copy: 0.32685020
ReLU BST GPU Average FORWARD: 0.04068047
Linear BST CPU Average copy: 0.46608906
Linear BST CPU Average FORWARD: 7.79030540
Linear BST GPU Average copy: 0.31829603
Linear BST GPU Average FORWARD: 0.18226017
ReLU BST CPU Average copy: 1.43188900
ReLU BST CPU Average FORWARD: 2.07521940
ReLU BST GPU Average copy: 0.31482812
ReLU BST GPU Average FORWARD: 0.03490544
Linear BST CPU Average copy: 0.46149890
Linear BST CPU Average FORWARD: 5.62292157
Linear BST GPU Average copy: 0.31657893
Linear BST GPU Average FORWARD: 0.14254300
==== hetero() ====
==== model: VGG ====
Average latency: 0.45242524869514233
Median latency: 0.43615055084228516
P99 latency: 0.7738154125213613
