--- hetero ---
iteration: 0	elapsed time: 1.1199769973754883
Conv2d BST CPU Average copy: 0.24503650
Conv2d BST CPU Average FORWARD: 3.24572698
Conv2d BST GPU Average copy: 0.19266629
Conv2d BST GPU Average FORWARD: 2.94559893
ReLU BST CPU Average copy: 2.24622572
ReLU BST CPU Average FORWARD: 0.91208834
ReLU BST GPU Average copy: 0.19487468
ReLU BST GPU Average FORWARD: 0.02719658
MaxPool2d BST CPU Average copy: 0.24819374
MaxPool2d BST CPU Average FORWARD: 1.18729803
MaxPool2d BST GPU Average copy: 0.19255311
MaxPool2d BST GPU Average FORWARD: 0.04341626
AdaptiveAvgPool2d BST CPU Average copy: 0.08482403
AdaptiveAvgPool2d BST CPU Average FORWARD: 2.77490568
AdaptiveAvgPool2d BST GPU Average copy: 0.05992735
AdaptiveAvgPool2d BST GPU Average FORWARD: 0.03605419
Linear BST CPU Average copy: 2.66922363
Linear BST CPU Average FORWARD: 23.69857316
Linear BST GPU Average copy: 1.40350515
Linear BST GPU Average FORWARD: 0.22349936
ReLU BST CPU Average copy: 3.15924365
ReLU BST CPU Average FORWARD: 0.32956913
ReLU BST GPU Average copy: 0.30841490
ReLU BST GPU Average FORWARD: 0.03426725
Linear BST CPU Average copy: 0.42678371
Linear BST CPU Average FORWARD: 6.00678271
Linear BST GPU Average copy: 0.30246648
Linear BST GPU Average FORWARD: 0.16558050
ReLU BST CPU Average copy: 0.77835719
ReLU BST CPU Average FORWARD: 0.29135714
ReLU BST GPU Average copy: 0.29963195
ReLU BST GPU Average FORWARD: 0.03269224
Linear BST CPU Average copy: 0.42076304
Linear BST CPU Average FORWARD: 1.44986432
Linear BST GPU Average copy: 0.29887816
Linear BST GPU Average FORWARD: 0.12224371
==== hetero() ====
==== model: VGG ====
Average latency: 0.33982233326844496
Median latency: 0.3358898162841797
P99 latency: 0.4048763370513916
