--- hetero ---
iteration: 0	elapsed time: 0.8840823173522949
Conv2d BST CPU Average copy: 0.31866690
Conv2d BST CPU Average FORWARD: 0.55938538
Conv2d BST GPU Average copy: 0.27208376
Conv2d BST GPU Average FORWARD: 1.76299702
ReLU BST CPU Average copy: 0.07372914
ReLU BST CPU Average FORWARD: 0.10718962
ReLU BST GPU Average copy: 0.05450875
ReLU BST GPU Average FORWARD: 0.01785972
Conv2d BST CPU Average copy: 0.06940871
Conv2d BST CPU Average FORWARD: 0.25858301
Conv2d BST GPU Average copy: 0.05240633
Conv2d BST GPU Average FORWARD: 1.36291379
ReLU BST CPU Average copy: 0.19713604
ReLU BST CPU Average FORWARD: 0.11916353
ReLU BST GPU Average copy: 0.16198736
ReLU BST GPU Average FORWARD: 0.02112533
Conv2d BST CPU Average copy: 0.05470141
Conv2d BST CPU Average FORWARD: 0.91131287
Conv2d BST GPU Average copy: 0.05377182
Conv2d BST GPU Average FORWARD: 1.73637120
ReLU BST CPU Average copy: 0.33978501
ReLU BST CPU Average FORWARD: 0.13821053
ReLU BST GPU Average copy: 0.16258461
ReLU BST GPU Average FORWARD: 0.02079058
Conv2d BST CPU Average copy: 0.26675908
Conv2d BST CPU Average FORWARD: 0.95983708
Conv2d BST GPU Average copy: 0.26777537
Conv2d BST GPU Average FORWARD: 1.79822276
ReLU BST CPU Average copy: 0.08680845
ReLU BST CPU Average FORWARD: 0.41806818
ReLU BST GPU Average copy: 0.06765789
ReLU BST GPU Average FORWARD: 0.01826912
Conv2d BST CPU Average copy: 0.08198228
Conv2d BST CPU Average FORWARD: 1.66949118
Conv2d BST GPU Average copy: 0.06614550
Conv2d BST GPU Average FORWARD: 1.35019331
ReLU BST CPU Average copy: 0.25765824
ReLU BST CPU Average FORWARD: 0.36665647
ReLU BST GPU Average copy: 0.21184334
ReLU BST GPU Average FORWARD: 0.02625253
Conv2d BST CPU Average copy: 0.06609734
Conv2d BST CPU Average FORWARD: 1.49100718
Conv2d BST GPU Average copy: 0.06699803
Conv2d BST GPU Average FORWARD: 2.09350538
ReLU BST CPU Average copy: 0.61308254
ReLU BST CPU Average FORWARD: 0.22955133
ReLU BST GPU Average copy: 0.21220699
ReLU BST GPU Average FORWARD: 0.02445356
MaxPool2d BST CPU Average copy: 0.35638279
MaxPool2d BST CPU Average FORWARD: 0.40646996
MaxPool2d BST GPU Average copy: 0.33605219
MaxPool2d BST GPU Average FORWARD: 0.03643710
Conv2d BST CPU Average copy: 0.07730783
Conv2d BST CPU Average FORWARD: 0.76359691
Conv2d BST GPU Average copy: 0.05963354
Conv2d BST GPU Average FORWARD: 1.34066379
ReLU BST CPU Average copy: 0.03373502
ReLU BST CPU Average FORWARD: 0.01674710
ReLU BST GPU Average copy: 0.02192969
ReLU BST GPU Average FORWARD: 0.01695662
Conv2d BST CPU Average copy: 0.02377683
Conv2d BST CPU Average FORWARD: 1.49952522
Conv2d BST GPU Average copy: 0.01997418
Conv2d BST GPU Average FORWARD: 1.34032904
ReLU BST CPU Average copy: 0.05257009
ReLU BST CPU Average FORWARD: 0.02024390
ReLU BST GPU Average copy: 0.03971716
ReLU BST GPU Average FORWARD: 0.01823059
Conv2d BST CPU Average copy: 0.02312419
Conv2d BST CPU Average FORWARD: 1.24487251
Conv2d BST GPU Average copy: 0.02022223
Conv2d BST GPU Average FORWARD: 1.61614081
ReLU BST CPU Average copy: 0.05184520
ReLU BST CPU Average FORWARD: 0.02030652
ReLU BST GPU Average copy: 0.03983758
ReLU BST GPU Average FORWARD: 0.01738288
Conv2d BST CPU Average copy: 0.06454882
Conv2d BST CPU Average FORWARD: 1.92472429
Conv2d BST GPU Average copy: 0.06043791
Conv2d BST GPU Average FORWARD: 1.42434631
ReLU BST CPU Average copy: 0.12608971
ReLU BST CPU Average FORWARD: 0.09247028
ReLU BST GPU Average copy: 0.10338937
ReLU BST GPU Average FORWARD: 0.02026317
AdaptiveAvgPool2d BST CPU Average copy: 0.12804523
AdaptiveAvgPool2d BST CPU Average FORWARD: 0.16617534
AdaptiveAvgPool2d BST GPU Average copy: 0.10169154
AdaptiveAvgPool2d BST GPU Average FORWARD: 0.03894170
==== hetero() ====
==== model: SqueezeNet ====
Average latency: 0.10324282838840677
Median latency: 0.10907483100891113
P99 latency: 0.14389246463775632
